block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
39,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
40,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,129.6565,133.4513,158.7501,141.0409,117.6395
41,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,133.4513,158.7501,141.0409,117.6395
42,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,158.7501,141.0409,117.6395
43,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,141.0409,117.6395
44,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,117.6395
45,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
46,406.0461,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
47,406.0461,390.8668,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
48,406.0461,390.8668,402.8838,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
49,406.0461,390.8668,402.8838,395.9266,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
50,406.0461,390.8668,402.8838,395.9266,378.2174,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
51,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
52,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
53,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
54,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
55,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,280.1845,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
56,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,278.2871,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
57,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,275.1247,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
58,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,273.8598,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
59,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,262.4753
60,406.0461,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
61,1419.2640,390.8668,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
62,1419.2640,647.6499,402.8838,395.9266,378.2174,416.7981,409.8409,431.3449,399.0889,431.3449,419.9605,417.4306,412.3708,416.7981,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,384.5421
