block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
37,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,395.2941,134.0838,130.9214,0.0000,135.9812,261.2104,106.2551,364.9355,124.5967,257.4155
38,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,395.2941,134.0838,264.3727,0.0000,135.9812,261.2104,106.2551,364.9355,124.5967,257.4155
39,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,265.0052,270.6974,395.2941,134.0838,264.3727,0.0000,135.9812,261.2104,106.2551,364.9355,124.5967,257.4155
40,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,265.0052,270.6974,395.2941,134.0838,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,124.5967,257.4155
41,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,265.0052,270.6974,395.2941,134.0838,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,124.5967,257.4155
42,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,265.0052,270.6974,395.2941,134.0838,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,124.5967,257.4155
43,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,265.0052,407.3111,395.2941,134.0838,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,124.5967,257.4155
44,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,265.0052,407.3111,395.2941,134.0838,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,253.6207,257.4155
45,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,265.0052,407.3111,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,253.6207,257.4155
46,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,397.8240,407.3111,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,253.6207,257.4155
47,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,530.6428,407.3111,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,253.6207,257.4155
48,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,663.4616,407.3111,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,106.2551,364.9355,253.6207,257.4155
49,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,663.4616,407.3111,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,239.0739,364.9355,253.6207,257.4155
50,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,554.0442,242.8687,663.4616,540.7624,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,239.0739,364.9355,253.6207,257.4155
51,392.7642,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,385.1746,554.0442,242.8687,663.4616,540.7624,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,239.0739,364.9355,253.6207,257.4155
52,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,385.1746,554.0442,242.8687,663.4616,540.7624,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,239.0739,364.9355,253.6207,257.4155
53,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,385.1746,554.0442,242.8687,663.4616,540.7624,395.2941,266.9026,264.3727,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
54,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,385.1746,554.0442,242.8687,663.4616,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
55,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,385.1746,554.0442,372.5252,663.4616,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
56,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,385.1746,554.0442,372.5252,801.3402,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
57,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,554.0442,372.5252,801.3402,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
58,512.3012,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,554.0442,372.5252,907.5953,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
59,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,554.0442,372.5252,907.5953,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,253.6207,257.4155
60,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,554.0442,372.5252,907.5953,540.7624,395.2941,266.9026,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,357.9784,257.4155
61,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,554.0442,372.5252,907.5953,540.7624,395.2941,388.3369,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,357.9784,257.4155
62,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,372.5252,907.5953,540.7624,395.2941,388.3369,382.0122,0.0000,268.8000,261.2104,239.0739,526.2155,357.9784,257.4155
63,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,372.5252,907.5953,540.7624,395.2941,388.3369,382.0122,184.0489,268.8000,261.2104,239.0739,526.2155,357.9784,257.4155
64,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,372.5252,907.5953,540.7624,395.2941,388.3369,382.0122,184.0489,268.8000,261.2104,239.0739,526.2155,463.6009,257.4155
65,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,498.3868,907.5953,540.7624,395.2941,388.3369,382.0122,184.0489,268.8000,261.2104,239.0739,526.2155,463.6009,257.4155
66,671.6838,128.3915,501.5492,136.6136,251.0908,0.0000,443.3619,385.1746,673.5812,498.3868,907.5953,540.7624,395.2941,388.3369,382.0122,184.0489,268.8000,420.5929,239.0739,526.2155,463.6009,257.4155
